name,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,city,missing_flag
"CITY HOME COUNTRY FEEL, Boston, MA USA",Allston-Brighton,42.30595863609247,-71.13230207833685,Entire home/apt,6,2.5,4.0,4.0,199.0,1.0,Boston,1
Lovely home in Jamaica Plain Boston,Jamaica Plain,42.30455930241627,-71.11364252468704,Entire home/apt,4,1.0,2.0,2.0,205.0,0.97,Boston,0
Treetop 2+BR Condo w/ Guest Hammock,Jamaica Plain,42.30873579543035,-71.0997703666716,Entire home/apt,5,1.0,2.0,2.0,114.0,0.95,Boston,0
Room in Pondside Apt!,Jamaica Plain,42.31567994817808,-71.11520100639541,Private room,2,1.0,1.0,1.0,75.0,0.98,Boston,0
One Bedroom Studio Garden Apartment,Jamaica Plain,42.31556511657293,-71.11482700886869,Entire home/apt,2,1.0,1.0,1.0,185.0,0.86,Boston,0
Queen Bed/Near Subway/Free Passes,Jamaica Plain,42.29572299757349,-71.11942117574478,Private room,2,1.0,1.0,1.0,75.0,0.97,Boston,0
Beautiful Modern Condo,Jamaica Plain,42.31199460127128,-71.1104508979181,Entire home/apt,4,2.5,2.0,2.0,180.0,0.94,Boston,1
Super Cozy Apt - An Artist's Home,Jamaica Plain,42.3068796497014,-71.11231783776945,Shared room,2,1.0,1.0,1.0,70.0,0.96,Boston,0
"Charming  Apartment, Jamaica Plain",Jamaica Plain,42.315922709721605,-71.09957962869748,Entire home/apt,2,1.0,1.0,2.0,150.0,0.96,Boston,0
Treetop Jamaica Plain home,Jamaica Plain,42.306539072784176,-71.11789285939363,Entire home/apt,4,1.0,2.0,2.0,120.0,0.96,Boston,0
Private room in great JP location!,Jamaica Plain,42.30861526351077,-71.11488311298572,Private room,2,2.0,1.0,1.0,92.0,1.0,Boston,0
"T'BEST: Priv. Bath, Deck; Subway, Parking Option",Jamaica Plain,42.298776315821605,-71.11159713499715,Private room,2,1.0,1.0,1.0,84.0,1.0,Boston,0
Parkside Apartment- Cozy and Roomy!,Jamaica Plain,42.2974047973222,-71.1139137340823,Entire home/apt,4,1.0,2.0,2.0,200.0,0.89,Boston,0
Centered on Centre ,Jamaica Plain,42.31796621180112,-71.1115346411253,Entire home/apt,2,1.0,1.0,1.0,115.0,0.96,Boston,0
"Sofa bed in cozy, clean apartment",Allston-Brighton,42.32489117729767,-71.11344012878439,Shared room,1,1.0,1.0,1.0,49.0,0.94,Boston,1
Pvt tree top room in great location,Jamaica Plain,42.315904009331135,-71.11404802615597,Private room,2,1.0,1.0,1.0,95.0,0.98,Boston,0
Family-Friendly Victorian Townhouse,Jamaica Plain,42.31274187654604,-71.11201449929162,Entire home/apt,6,1.0,4.0,4.0,275.0,1.0,Boston,0
Lovely private 4 bedroom apt,Jamaica Plain,42.30454928375496,-71.11553158945944,Entire home/apt,9,1.0,4.0,4.0,230.0,0.97,Boston,0
Light and airy separate apartment in funky JP,Jamaica Plain,42.31527368629765,-71.10846155035345,Entire home/apt,4,1.0,1.0,4.0,130.0,0.99,Boston,0
2 bedroom Jamaica Plain Egleston Square w/ parking,Jamaica Plain,42.31465541166664,-71.09929095218234,Entire home/apt,5,1.0,2.0,3.0,192.0,0.93,Boston,0
Beautiful Apartment in Boston!,Jamaica Plain,42.3250487304867,-71.10629608704429,Entire home/apt,5,1.0,3.0,4.0,175.0,0.85,Boston,0
Small Cozy Room in Beautiful Place,Jamaica Plain,42.29554924453866,-71.11354968974973,Private room,2,1.0,1.0,1.0,70.0,0.8,Boston,0
Cozy guest room. Awesome location!,Jamaica Plain,42.32235541314952,-71.10672991341261,Private room,2,1.5,1.0,1.0,65.0,1.0,Boston,0
Family-friendly private room,Jamaica Plain,42.30571166319029,-71.1056671002783,Private room,2,1.0,1.0,1.0,100.0,1.0,Boston,0
Charming Arboretum Area 1+ Bed/1 Ba,Jamaica Plain,42.30248683101913,-71.11331372851822,Entire home/apt,3,1.0,1.0,1.0,185.0,0.94,Boston,1
Beautiful Victorian on Quiet Street,Jamaica Plain,42.31867699226627,-71.100333066673,Entire home/apt,10,2.5,5.0,5.0,250.0,0.87,Boston,0
Full One-Bedroom in Jamaica Plain,Allston-Brighton,42.31762621945572,-71.10865424017277,Entire home/apt,2,1.0,1.0,1.0,110.0,0.93,Boston,1
Gorgeous townhouse in Boston,Jamaica Plain,42.31227026019718,-71.10086090909755,Entire home/apt,5,1.5,2.0,3.0,150.0,0.94,Boston,1
TWO BEDROOM APARTMENT,Jamaica Plain,42.32527016657306,-71.10701088601907,Entire home/apt,6,1.0,2.0,4.0,168.0,0.89,Boston,0
Rustic Room/Free Transit/By Subway,Jamaica Plain,42.29558694639871,-71.11941563945955,Private room,2,1.0,1.0,1.0,60.0,0.98,Boston,0
"Cozy guest room, great location!",Jamaica Plain,42.29812412303772,-71.11413548740815,Private room,2,1.0,1.0,1.0,59.0,0.9,Boston,0
One private room in Jamaica Plain,Jamaica Plain,42.31753771012777,-71.10845721836117,Private room,2,1.0,1.0,1.0,60.0,0.91,Boston,0
"Family friendly, great location",Jamaica Plain,42.30683414172092,-71.11331230827805,Entire home/apt,4,1.0,2.0,4.0,145.0,0.94,Boston,0
Cozy & Private Room close to city,Jamaica Plain,42.30720226358175,-71.11958890231001,Private room,2,1.0,1.0,1.0,80.0,1.0,Boston,0
Jamaica Plain's Urban Oasis,Jamaica Plain,42.31961968865941,-71.10482911031056,Entire home/apt,3,1.0,1.0,2.0,114.0,0.97,Boston,0
"Gracious, stunning, with fireplace",Jamaica Plain,42.31026209376064,-71.11257439993145,Private room,2,1.0,1.0,1.0,170.0,0.8,Boston,0
Boston Charm - Condo,Jamaica Plain,42.3185688067565,-71.11415408323548,Entire home/apt,6,2.0,2.0,2.0,240.0,0.95,Boston,0
Elegant Quiet Family-Friendly 2BR,Jamaica Plain,42.31012523517613,-71.1028771953959,Entire home/apt,4,1.0,2.0,2.0,150.0,0.95,Boston,0
Cozy guest room. Awesome location!,Jamaica Plain,42.30950229933045,-71.11675448454866,Private room,2,1.0,1.0,1.0,69.0,0.98,Boston,0
"Sunny Home in Jamaica Plain, Boston",Jamaica Plain,42.30376309732182,-71.11400262506409,Private room,2,1.0,1.0,1.0,80.0,0.95,Boston,1
Beautiful Boston Room-Sunny!,Jamaica Plain,42.31343053763309,-71.10571836582744,Private room,2,1.0,1.0,1.0,85.0,0.97,Boston,0
"Great location, large room, and private bath.",Jamaica Plain,42.308948421885546,-71.11416180689504,Private room,4,1.0,1.0,2.0,75.0,0.92,Boston,0
"Sunny, Family-Friendly Apartment",Jamaica Plain,42.30639602252362,-71.10593528533563,Entire home/apt,4,1.0,2.0,2.0,150.0,0.8,Boston,0
Sunny JP bedroom near Orange Line T,Jamaica Plain,42.31551268554925,-71.10157722722016,Private room,2,2.0,1.0,1.0,70.0,0.9,Boston,0
The Roost -  Fox Room,Jamaica Plain,42.30932885567064,-71.1176428044509,Private room,3,1.0,1.0,2.0,80.0,0.96,Boston,0
"Sunny, Modern, Jamaica Plain Condo",Jamaica Plain,42.31097645315618,-71.10416185751671,Entire home/apt,7,1.5,3.0,4.0,225.0,0.94,Boston,1
Diamond House -2- Victorian Jewel,Jamaica Plain,42.31686601781734,-71.10254447357467,Entire home/apt,4,1.0,2.0,2.0,225.0,1.0,Boston,0
"Cozy, 2 bedroom near medical area!",Jamaica Plain,42.3247317393277,-71.10791787889553,Entire home/apt,4,2.0,2.0,2.0,178.0,1.0,Boston,1
2BR in eclectic JP neighborhood,Jamaica Plain,42.31308411868998,-71.10511677573426,Entire home/apt,4,1.0,2.0,2.0,175.0,0.94,Boston,0
"Cozy, bohemian Jamaica Plain studio",Jamaica Plain,42.309181962717766,-71.1104931014882,Entire home/apt,3,1.0,0.0,2.0,109.0,1.0,Boston,0
Queen size bed in roomy 2 BR condo,Jamaica Plain,42.31951089873444,-71.11460121899208,Private room,2,1.5,1.0,1.0,90.0,0.94,Boston,1
"Spacious, well-located 2-bed apt",Jamaica Plain,42.32243105263224,-71.11326557693921,Entire home/apt,6,1.0,2.0,3.0,99.0,0.97,Boston,0
Cozy Room In JP,Jamaica Plain,42.30337106614937,-71.11500731218838,Private room,2,1.0,1.0,1.0,50.0,0.91,Boston,0
Luxury loft w/ beautiful city view,Allston-Brighton,42.32436433918023,-71.10262149236247,Entire home/apt,4,1.0,2.0,2.0,300.0,0.93,Boston,1
Vacation Rental,Jamaica Plain,42.308816078841446,-71.11392840097396,Entire home/apt,6,2.0,4.0,5.0,184.0,0.94,Boston,1
"Priv. bath, breakfast, parking, puppy, T in hip JP",Jamaica Plain,42.31846334578227,-71.10792704855353,Private room,2,1.0,1.0,1.0,80.0,0.92,Boston,0
"Your own bedroom, sitting room and bathroom near T",Jamaica Plain,42.309838352752514,-71.10752400155785,Private room,2,1.0,1.0,1.0,85.0,0.97,Boston,0
the apartment in the sky,Jamaica Plain,42.31190936590773,-71.10675529422124,Entire home/apt,2,1.0,1.0,2.0,150.0,0.98,Boston,0
"Colorful artist home, prime location!",Jamaica Plain,42.31552925725239,-71.10240299583324,Entire home/apt,2,1.0,1.0,1.0,100.0,1.0,Boston,0
Quiet and comfy in Jamaica Plain,Allston-Brighton,42.32186357179841,-71.10374748421248,Private room,2,1.0,1.0,1.0,100.0,0.93,Boston,1
Clean Comfortable Room in Modern Home Near Transit,Jamaica Plain,42.29858047244345,-71.11026724947551,Private room,2,1.5,1.0,2.0,84.0,0.97,Boston,0
The City Cabin - 2 blocks to Subway,Jamaica Plain,42.31627330224815,-71.10215681045173,Entire home/apt,4,1.0,1.0,2.0,130.0,0.98,Boston,0
"Urban oasis, wonderful location!",Allston-Brighton,42.31614912702236,-71.10503627122522,Private room,2,1.0,1.0,1.0,76.0,0.95,Boston,1
"Private room, Boston with breakfast",Allston-Brighton,42.31218842736296,-71.10566184357903,Private room,2,1.0,1.0,1.0,100.0,1.0,Boston,1
Lg rm in beautiful Victorian,Jamaica Plain,42.31342150080405,-71.10711860330036,Private room,2,2.0,1.0,1.0,70.0,1.0,Boston,0
Sweet penthouse in historic Boston,Jamaica Plain,42.3113139741088,-71.1161706912694,Entire home/apt,2,1.0,1.0,1.0,125.0,0.96,Boston,0
"Private Room, near JP Center & MBTA",Jamaica Plain,42.30557707947495,-71.11367642052262,Private room,2,1.0,1.0,1.0,70.0,0.94,Boston,0
"Charming room, in hip JP near The T",Jamaica Plain,42.316052291214056,-71.09932133876652,Private room,1,1.5,1.0,1.0,75.0,0.94,Boston,1
Sun filled modern master suite and separate den,Allston-Brighton,42.30637132044274,-71.11350717401692,Entire home/apt,3,1.0,2.0,1.0,170.0,0.98,Boston,1
Private room & bath - Jamaica Plain,Jamaica Plain,42.31509938985096,-71.11107897137123,Private room,2,1.0,1.0,1.0,95.0,1.0,Boston,0
A quiet and sunny room,Jamaica Plain,42.30649689949284,-71.1116203010471,Private room,2,1.0,1.0,2.0,70.0,1.0,Boston,0
"Fun Location, Beautiful & Spacious!",Jamaica Plain,42.319226619133296,-71.10886890206302,Entire home/apt,6,1.0,3.0,3.0,299.0,0.94,Boston,1
Charming & Quiet in Jamaica Plain,Jamaica Plain,42.30361487406617,-71.12921449284401,Private room,1,1.5,1.0,1.0,70.0,0.94,Boston,1
Entire Third Floor with private bath.,Jamaica Plain,42.31179031925349,-71.12132702991566,Entire home/apt,6,2.0,2.0,3.0,155.0,0.94,Boston,1
French Country 2bd/2bth Heart of JP,Jamaica Plain,42.32133486634611,-71.1077732004827,Entire home/apt,4,2.0,2.0,2.0,250.0,1.0,Boston,0
Sunny Private Room and Bath in JP,Jamaica Plain,42.30073404413557,-71.11431096653907,Private room,2,1.0,1.0,1.0,115.0,0.95,Boston,0
JP Green House: Simple and Private,Jamaica Plain,42.28965254884459,-71.1147207903471,Private room,3,1.0,1.0,2.0,70.0,0.92,Boston,0
JP Green House: Garden Apartment,Jamaica Plain,42.28825811306717,-71.11306691796358,Entire home/apt,3,1.0,1.0,2.0,135.0,0.93,Boston,0
Qn BR/deck/Jacuzzi/Superhost/JP Ctr,Jamaica Plain,42.31214691602426,-71.10890828395573,Private room,2,1.0,1.0,1.0,120.0,1.0,Boston,0
Unique Loft in Central JP Location,Jamaica Plain,42.31303259057599,-71.11202440937613,Entire home/apt,4,1.5,1.0,1.0,130.0,1.0,Boston,0
336 Centre St Boston!,Jamaica Plain,42.32152083648081,-71.10741009190527,Private room,3,1.0,1.0,1.0,29.0,0.88,Boston,0
"Beautiful bedroom, cozy atmosphere",Allston-Brighton,42.30450198413657,-71.11147205236121,Private room,2,1.0,1.0,1.0,68.0,0.91,Boston,1
Pondside Spacious Condo,Jamaica Plain,42.31968702097964,-71.11296924688942,Entire home/apt,6,1.0,3.0,5.0,300.0,0.97,Boston,0
"Small, sweet, single-bed near T",Jamaica Plain,42.3126182454674,-71.10620541691137,Private room,1,2.0,1.0,1.0,50.0,0.95,Boston,0
Entire Tree-Top 1BR Condo in JP on T + Parking,Jamaica Plain,42.312465870465495,-71.10751981004609,Entire home/apt,2,1.0,1.0,1.0,119.0,0.9,Boston,0
Idyllic Wooded Boston Neighborhood,Jamaica Plain,42.29050283678629,-71.11642163691592,Private room,2,1.0,1.0,1.0,46.0,0.75,Boston,0
Arthouse in Historic Brewery District!,Jamaica Plain,42.316423406732014,-71.105027092965,Entire home/apt,6,1.0,2.0,3.0,295.0,0.94,Boston,1
Entire 2 bedroom spacious apartment,Jamaica Plain,42.32274731213835,-71.11033370632222,Entire home/apt,5,1.0,2.0,3.0,130.0,0.79,Boston,0
Spacious & Modern in Central JP,Jamaica Plain,42.3127790883538,-71.10974082171327,Entire home/apt,6,2.0,2.0,2.0,180.0,1.0,Boston,0
Large newly renovated apt in perfect  JP location!,Jamaica Plain,42.3110232774222,-71.11899338510045,Entire home/apt,7,1.0,2.0,4.0,300.0,0.94,Boston,1
Family Friendly Home Away From Home,Jamaica Plain,42.303545288802894,-71.10589216211304,Entire home/apt,5,1.0,2.0,3.0,200.0,0.94,Boston,1
Hidden gem in Jamaica Plain,Jamaica Plain,42.31576895997632,-71.11289367391335,Entire home/apt,2,1.0,1.0,1.0,136.0,0.92,Boston,0
Cozy JP apt w/ short walk to T,Allston-Brighton,42.30401959211494,-71.10493709465034,Entire home/apt,2,1.0,1.0,1.0,100.0,0.96,Boston,1
Jamaica Plain's PINK ROOM,Jamaica Plain,42.31779832815028,-71.10403440260586,Private room,5,1.0,1.0,2.0,88.0,1.0,Boston,0
spacious 3rd floor loft in home,Allston-Brighton,42.32411923510956,-71.10669945356153,Private room,3,1.0,1.0,2.0,95.0,0.93,Boston,1
"Retro Cool Artist's House, Parking",Jamaica Plain,42.30957367789852,-71.10629240857683,Entire home/apt,2,1.5,1.0,1.0,135.0,0.8,Boston,0
Sunny Private Studio Aptmt,Jamaica Plain,42.30236440084767,-71.11490982290199,Entire home/apt,2,1.0,1.0,1.0,135.0,0.98,Boston,0
