name,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,city,missing_flag
Garden View Hideaway - PET FRIENDLY,Dogpatch,37.75447,-122.38813,Entire home/apt,3,1,2,2,150,0.8,San Francisco,0
Lyon''''s Den,Haight-Ashbury,37.77272,-122.44084,Entire home/apt,3,1,2,2,120,0.56,San Francisco,0
Cute Noe/Mission Apartment,Mission District,37.75121,-122.42165,Entire home/apt,4,1,1,2,175,1,San Francisco,0
Private Castro Studio with 2 beds,The Castro,37.76068,-122.43331,Entire home/apt,2,1,0,2,116,0.94,San Francisco,0
Central in SF - Victorian Classic Home - 5 Stars,Lower Haight,37.77248,-122.43016,Private room,2,3,1,1,125,0.96,San Francisco,0
CACTUS COTTAGE  with easy parking/public transp.,Ingleside,37.72536,-122.46861,Entire home/apt,2,1,1,1,78,0.97,San Francisco,0
One-bedroom apt.  Lafayette Park,Pacific Heights,37.7925,-122.42431,Entire home/apt,2,1,1,1,120,0.96,San Francisco,0
Mission Mega Queen Bed Sensation | Safe & Central,Mission District,37.75542,-122.40703,Private room,1,1,1,1,76,0.94,San Francisco,0
In the Heart of San Francisco,SoMa,37.77116,-122.42199,Private room,2,1,1,1,160,0.99,San Francisco,0
Centrally Located Victorian Apartment,Lower Haight,37.77121,-122.42834,Entire home/apt,2,1,1,1,119,0.98,San Francisco,0
Prime Location - Small Cozy Room,Pacific Heights,37.79312,-122.426,Private room,1,0,1,1,55,0.92,San Francisco,0
Nob Hill room with a great view,Nob Hill,37.79667,-122.41272,Private room,1,1,1,1,99,0.89,San Francisco,0
Large & sunny room with bath + yard,Bernal Heights,37.73878,-122.41189,Private room,2,1,1,1,90,0.98,San Francisco,0
Financial District Corporate Condo,Financial District,37.7933,-122.40079,Entire home/apt,2,1,1,1,210,0.89,San Francisco,0
Studio Apartment Lafayette Park,Pacific Heights,37.79166,-122.4265,Entire home/apt,2,1,1,1,115,0.93,San Francisco,0
"â€šÃ¹Â§Ã”âˆÃ¨Stunning Luxury Apt, 5 star reviews, Laundry,",Richmond District,37.77959,-122.48619,Entire home/apt,4,1,1,2,116,0.94,San Francisco,0
"â€šÃ¹Â§Ã”âˆÃ¨ Super luxury Apt, Great View,  5 Star Reviews",Twin Peaks,37.74889,-122.44479,Entire home/apt,4,1,1,2,116,0.95,San Francisco,0
Prime Location - Large Private Room,Pacific Heights,37.79216,-122.42458,Private room,1,1,1,1,55,0.93,San Francisco,0
"Bernal Heights Apartment, Patio + Parking",Bernal Heights,37.7472,-122.41443,Entire home/apt,2,1,1,1,175,0.92,San Francisco,0
"Bartlett Gardens: Spacious, bright!",Mission District,37.75762,-122.41933,Private room,1,1,1,1,99,0.94,San Francisco,0
Quiet Home in the Trees of Forest Knolls,Inner Sunset,37.75504,-122.45871,Entire home/apt,4,2,2,2,350,0.8,San Francisco,0
